 Наименование; Изготовитель; Номер свидетельства и дата; Этикетка; Происхождение; Противопоказания; Срок годности; Год регистрации; Количество групп компонентов;Пищевые вещества Витамины, витаминоподобные вещества и коферменты;Пищевые вещества Макро- и микроэлементы;Пищевые вещества Жиры, жироподобные вещества и их производные;Пищевые вещества Белки, пептиды, аминокислоты,  нуклеиновые кислоты;Минорные компоненты растений Фенольные соединения;Минорные компоненты растений Алкалоиды;Пробиотики в монокультурах и ассоциациях  Пробиотические микроорганизмы;Пищевые вещества Углеводы и продукты их переработки;Минорные компоненты растений Сапонины;Минорные компоненты растений Терпеноиды;Минорные компоненты растений Естественные метаболиты и стимуляторы метаболизма;Минорные компоненты растений Гидроксикоричные кислоты;Минорные компоненты растений Ферменты;Минорные компоненты растений Дубильные вещества;"Минеральные и минерало-органические природные субстанции Цеолиты
Гуминовые кислоты";Система органов для беременных, кормящих и планирующих беременность;Система органов костно-мышечная сиситема;Система органов нервная система;Система органов иммунная система;Система органов пищеварительный тракт и обмен веществ;Система органов мочеполовая система;Система органов дерматологические БАД;Система органов органы чувств;Система органов сердечно-сосудистая система;Система органов противоопухолевые БАД;Система органов противопаразитарные БАД;Система органов дыхательная система;Система органов кровь и система кроветворения;Система органов противомикробные БАД; Форма выпуска; Продолжительность приема; Происхождение (природное/синтетическое); Сырье (растительное/животное/биологическое);Группа населения предназначен для детей;Группа населения возраст детей;Группа населения предназначен для взрослых;Группа населения пол;Группа населения пожилые
"биологически активная добавка к пище ""Мускулим (""Muskulim"")"" (капсулы массой 450 мг)";"OOO ""BIOTON"", Ташкентская область, Кибрайский район, махалля Аргин (Республика Узбекистан)";RU.77.99.11.003.R.000635.03.23 от 09.03.2023;в соответствии с ТР ТС 022/2011. Рекомендации по применению: мужчинам принимать по 1 капсуле 2 раза в день непосредственно после еды. Продолжительность приема - 2-3 недели. При необходимости прием БАД можно повторить через месяц. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: Индивидуальная непереносимость компонентов БАД, прием в вечернее время, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, нарушения сердечной деятельности, выраженный атеросклероз. Срок годности - 2 года. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше 25°С. После вскрытия флакон (банку)/ пакет хранить плотно закрытыми при тех же условиях;иностранное;в соответствии с ТР ТС 022/2011. Рекомендации по применению: мужчинам принимать по 1 капсуле 2 раза в день непосредственно после еды. Продолжительность приема - 2-3 недели. При необходимости прием БАД можно повторить через месяц. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: Индивидуальная непереносимость компонентов БАД, прием в вечернее время, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, нарушения сердечной деятельности, выраженный атеросклероз. Срок годности - 2 года. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше 25°С. После вскрытия флакон (банку)/ пакет хранить плотно закрытыми при тех же условиях;2 года;2023;2;;;стеран;;;;;;;;ест;;;;;;;;иммун;жкт;почки;;;;;;;;;капсулы;1 месяц и менее;Природное (растительное);Экстракт корней маки перуанской (Мака перуанская – Lepidium meyenii), картофельный крахмал (Картофель – Solanum tuberosum), экстракт побегов живучки туркестанской (Живучка туркестанская – Ajuga turkestanica);;;взрослые;мужчины;
"биологически активная добавка к пище ""Топинамбур IMBIAN Eco"" (порошок в банках по 90 г - 1000 г; в саше-пакетах по 1,0 г)";"ООО ""ИМБИАН ЛАБ"", 630559, Новосибирская область, г.о. рабочий поселок Кольцово, р.п. Кольцово, ул. Садовая, д. 2/7, этаж 2, помещение 2 (ПРИЛОЖЕНИЕ) (адрес места осуществления деятельности по изготовлению продукции: 357021, Ставропольский край, Кочубеевский район, с. Веселое, ул. Набережная, здание 1, строение 5, помещение 1) (Российская Федерация)";RU.77.99.11.003.R.000636.03.23 от 09.03.2023;в соответствии с требованиями ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 чайной ложке без горки (1,0 г) или по 1 саше-пакету (1,0 г) 3 раза в день во время еды, запивая водой, либо добавляя в готовые блюда (каши, салаты и пр.). Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 24 месяца. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше 25°С. После вскрытия банку хранить плотно закрытой при тех же условиях;отечественное;в соответствии с требованиями ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 чайной ложке без горки (1,0 г) или по 1 саше-пакету (1,0 г) 3 раза в день во время еды, запивая водой, либо добавляя в готовые блюда (каши, салаты и пр.). Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 24 месяца. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше 25°С. После вскрытия банку хранить плотно закрытой при тех же условиях;2 года;2023;1;;;;;;;;полисахариды;;;;;;;;;;;;жкт;;;;;;;;;;порошок;1 месяц и менее;Природное (растительное);Порошок из корнеплодов топинамбура (Топинамбур – Helianthus tuberosus).;;;взрослые;;
"биологически активная добавка к пище ""Линчжи Экстракт IMBIAN Eco"" (капсулы по 380 мг в потребительской упаковке - для реализации намикроэлементыию; в упаковке ""in bulk"" от 5 до 20 кг - для последующей расфасовки)";"ООО ""ИМБИАН ЛАБ"", 630559, Новосибирская область, г.о. рабочий поселок Кольцово, р.п. Кольцово, ул. Садовая, д. 2/7, этаж 2, помещение 2 (ПРИЛОЖЕНИЕ) (адрес места осуществления деятельности по изготовлению продукции: 357021, Ставропольский край, Кочубеевский район, с. Веселое, ул. Набережная, здание 1, строение 5, помещение 1) (Российская Федерация)";RU.77.99.11.003.R.000637.03.23 от 09.03.2023;"в соответствии с требованиями ТР ТС 022/2011. Рекомендации по применению: взрослым по 3 капсулы 3 раза в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности -36 месяцев. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше +25°С. После вскрытия банку/пакет хранить плотно закрытыми при тех же условиях. Продукция в упаковке ""in bulk"" не подлежит розничной продаже намикроэлементыию, предназначена для последующей расфасовки";отечественное;"в соответствии с требованиями ТР ТС 022/2011. Рекомендации по применению: взрослым по 3 капсулы 3 раза в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности -36 месяцев. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше +25°С. После вскрытия банку/пакет хранить плотно закрытыми при тех же условиях. Продукция в упаковке ""in bulk"" не подлежит розничной продаже намикроэлементыию, предназначена для последующей расфасовки";3 года;2023;2;;;;;фенольн;;;полисахариды;;;;;;;;;;;иммун;;;;;серд;;;;;;капсулы;1 месяц и менее;Природное (растительное);Экстракт гриба линчжи (Трутовик лакированный – Ganoderma lucidum);;;взрослые;;
"биологически активная добавка к пище ""Травяной чай Сбор Монастырский-2 IMBIAN Eco"" (пирамидки по 4,0 г)";"ООО ""ИМБИАН ЛАБ"", 630559, Новосибирская область, г.о. рабочий поселок Кольцово, р.п. Кольцово, ул. Садовая, д. 2/7, этаж 2, помещение 2 (ПРИЛОЖЕНИЕ) (адрес места осуществления деятельности по изготовлению продукции: 357021, Ставропольский край, Кочубеевский район, с. Веселое, ул. Набережная, здание 1, строение 5, помещение 1) (Российская Федерация)";RU.77.99.11.003.R.000638.03.23 от 09.03.2023;в соответствии с требованиями ТР ТС 022/2011. Рекомендации по применению: 1 пирамидку залить 1 стаканом (200 мл) кипятка, настоять в течение 10-15 минут, отжать пирамидку. Взрослым принимать по 1 стакану в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 24 месяца. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше +25°С. Готовый настой хранить в холодильнике не более двух суток;отечественное;в соответствии с требованиями ТР ТС 022/2011. Рекомендации по применению: 1 пирамидку залить 1 стаканом (200 мл) кипятка, настоять в течение 10-15 минут, отжать пирамидку. Взрослым принимать по 1 стакану в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 24 месяца. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше +25°С. Готовый настой хранить в холодильнике не более двух суток;2 года;2023;2;;;;;фенольн;;;;;терпен;ест;;;;;;;;;жкт;;;;;;;;;;сбор;1 месяц и менее;Природное (растительное);Кипрея узколистного трава (Кипрей узколистный – Chamerion angustifolium), цветки липы сердцелистной (Липа сердцевидная – Tilia cordata), цветки ромашки аптечной (Ромашка аптечная – Matricaria chamomilla), корневища с корнями валерианы лекарственной (Валериана лекарственная – Valeriana officinalis), пастушьей сумки трава (Пастушья сумка обыкновенная – Capsella bursa-pastoris), цветки пижмы обыкновенной (Пижма обыкновенная – Tanacetum vulgare), чага (Трутовик скошенный – Inonotus obliquus), шалфея лекарственного листья (Шалфей лекарственный – Salvia officinalis), листья эвкалипта прутовидного (Эвкалипт прутовидный – Eucalyptus viminalis), тысячелистника обыкновенного трава (Тысячелистник обыкновенный – Achillea millefolium);;;взрослые;;
"биологически активная добавка к пище ""Диэнай"" (капсулы массой 0,6 г)";"ООО ""СИБИРСКИЙ ЦЕНТР БИОТЕХНОЛОГИИ"" , 630559, Новосибирская область, рп Кольцово, ул. Технопарковая, д. 10, офис 108 (адрес места осуществления деятельности по изготовлению продукции: 630559, Новосибирская область, рп Кольцово, ул. Технопарковая, д. 10/4) (Российская Федерация)";RU.77.99.11.003.R.000645.03.23 от 09.03.2023;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым и детям старше 14 лет по 1 капсуле 3 раза в день во время еды. Продолжительность приёма - 3 недели. Противопоказания: индивидуальная непереносимость компонентов, беременным и кормящим женщинам, подагра и другие нарушения пуринового обмена (гиперурикемия, мочекислый диатез, уратный нефролитиаз). Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром. Срок годности - 2 года. Хранить в сухом, недоступном для детей, защищённом от света месте при температуре не выше 25°С;отечественное;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым и детям старше 14 лет по 1 капсуле 3 раза в день во время еды. Продолжительность приёма - 3 недели. Противопоказания: индивидуальная непереносимость компонентов, беременным и кормящим женщинам, подагра и другие нарушения пуринового обмена (гиперурикемия, мочекислый диатез, уратный нефролитиаз). Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром. Срок годности - 2 года. Хранить в сухом, недоступном для детей, защищённом от света месте при температуре не выше 25°С;2 года;2023;1;;;;аминокислоты;;;;;;;;;;;;;;;;;;;;серд;;;;;;капсулы;1 месяц и менее;Синтетическое;;дети;от 14 лет;взрослые;;
"биологически активная добавка к пище ""Таприт Плюс"" со вкусом шиповника (жидкость в стик-пакетах по 10 мл, или во флаконах от 100 до 300 мл).";"ООО ""Гротекс"", 195279, г. Санкт-Петербург, Индустриальный проспект, д. 71, корп. 2, литера А, (адрес места осуществления деятельности по изготовлению продукции: 195253, г. Санкт-Петербург, Лапинский пр., 13, лит. Ж) (Российская Федерация)";RU.77.99.88.003.R.000650.03.23 от 10.03.2023;в соответствии с ТР ТС 022/2011. Рекомендации по применению: женщинам по 10 мл (1 стик-пакет по 10 мл или 1 десертную ложку) в день, во время еды в чистом виде или предварительно разбавив в небольшом количестве воды или сока. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, нарушения углеводного обмена (в т.ч. сахарный диабет). Срок годности - 2 года. Хранить в защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше 25°С. Не замораживать. После вскрытия флакон хранить в холодильнике;отечественное;в соответствии с ТР ТС 022/2011. Рекомендации по применению: женщинам по 10 мл (1 стик-пакет по 10 мл или 1 десертную ложку) в день, во время еды в чистом виде или предварительно разбавив в небольшом количестве воды или сока. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, нарушения углеводного обмена (в т.ч. сахарный диабет). Срок годности - 2 года. Хранить в защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше 25°С. Не замораживать. После вскрытия флакон хранить в холодильнике;2 года;2023;3;вит;элементы;;;;;;;;;ест;;;;;;;нерв;;;;;;;;;;кровь;;растворы;1 месяц и менее;Природное (растительное);Экстракт листьев мелиссы (Мелисса лекарственная – Melissa officinalis), экстракт плодов шиповника (Шиповник майский – Rosa canina).;;;;;
"биологически активная добавка к пище ""УРОХЕЛС НАТУРАЛ"" (""UROHEALTH NATURAL"") (капсулы массой 455 мг).";"АО ""Вектор-Медика"", 630559, Новосибирская обл., городской округ рабочий поселок Кольцово, рп Кольцово, зона Научно-производственная, здание 38 (адрес места осуществления деятельности по изготовлению продукции Новосибирская обл., городской округ рабочий поселок Кольцово, рп Кольцово, Научно-производственная, здание 38, корпус № 13) (Российская Федерация)";RU.77.99.88.003.R.000651.03.23 от 10.03.2023;в соответствии с ТР ТС 022/2011. Рекомендации по применению: мужчинам по 2 капсулы в день во время еды в первой половине дня. Продолжительность приема - 2-3 недели. При необходимости прием можно повторить через месяц. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, нарушение ритма сердечной деятельности, выраженный атеросклероз. Срок годности - 3 года. Хранить в защищенном от прямых солнечных лучей и недоступном для детей месте при температуре не выше + 25°C;отечественное;в соответствии с ТР ТС 022/2011. Рекомендации по применению: мужчинам по 2 капсулы в день во время еды в первой половине дня. Продолжительность приема - 2-3 недели. При необходимости прием можно повторить через месяц. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, нарушение ритма сердечной деятельности, выраженный атеросклероз. Срок годности - 3 года. Хранить в защищенном от прямых солнечных лучей и недоступном для детей месте при температуре не выше + 25°C;3 года;2023;1;;;;;;;;;сапонины;;;;;;;;;;;;почки;;;;;;;;;капсулы;1 месяц и менее;Природное (растительное);Экстракт плодов пальмы сереноа сухой (Сереноя ползучая – Serenoa repens), экстракт корней женьшеня сухой (Женьшень настоящий – Panax ginseng), экстракт травы горянки сухой (Горянка корейская – Epimedium koreanum), экстракт гриба кордицепса сухой (Кордицепс китайский – Cordyceps sinensis), экстракт плодов годжи сухой (Дереза обыкновенная – Lycium barbarum), экстракт корневищ дикого ямса сухой (Ямс диоскорея – Dioscorea villosa), экстракт семян красного финика сухой (Финик пальчатый – Phoenix dactylifera), экстракт гриба рейши сухой (Ганодерма блестящая – Ganoderma lucidum), экстракт корней калгана сухой (Калган лекарственный – Alpinia officinarum).;;;взрослые;мужчины;
"биологически активная добавка к пище ""Глицин Про с витаминами группы В"" (таблетки массой 600 мг)";"ООО ""Фармгрупп"" 656906, Алтайский край, г. Барнаул, Южный рабочий поселок, Лесной тракт, д.65 (Российская Федерация)";RU.77.99.88.003.R.000652.03.23 от 10.03.2023;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 таблетке 3 раза в день во время еды. Продолжительность приема - 1 месяц. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Срок годности - 2 года. Хранить в сухом, защищенном от попадания прямых солнечных лучей и недоступном для детей месте при температуре не выше 25 °С;отечественное;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 таблетке 3 раза в день во время еды. Продолжительность приема - 1 месяц. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Срок годности - 2 года. Хранить в сухом, защищенном от попадания прямых солнечных лучей и недоступном для детей месте при температуре не выше 25 °С;2 года;2023;2;вит;;;аминокислоты;;;;;;;;;;;;;;нерв;;;;;;;;;;;;таблетки;1 месяц и менее;Синтетическое;;;;взрослые;;
"биологически активная добавка к пище ""макроэлемент Актив Плюс"" со вкусом персика или фрутти (жидкость в стик-пакетах по 10 мл, или во флаконах от 100 до 300 мл)";"ООО ""Гротекс"", 195279, г. Санкт-Петербург, Индустриальный проспект, д. 71, корп. 2, литера А, (адрес места осуществления деятельности по изготовлению продукции: 195253, г. Санкт-Петербург, Лапинский пр., 13, лит. Ж) (Российская Федерация)";RU.77.99.88.003.R.000653.03.23 от 10.03.2023;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым принимать по 10 мл (1 стик-пакет или 2 чайные ложки) 1-2 раза в день во время еды в чистом виде или предварительно разбавив в небольшом количестве воды или сока комнатной температуры. Перед употреблением стик-пакет рекомендуется встряхнуть. Продолжительность приема - 1 месяц. При необходимости прием можно повторить в течение года. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в оригинальной упаковке, в защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше 25°С. Не замораживать. После вскрытия флакон хранить в холодильнике не более 2-х месяцев;отечественное;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым принимать по 10 мл (1 стик-пакет или 2 чайные ложки) 1-2 раза в день во время еды в чистом виде или предварительно разбавив в небольшом количестве воды или сока комнатной температуры. Перед употреблением стик-пакет рекомендуется встряхнуть. Продолжительность приема - 1 месяц. При необходимости прием можно повторить в течение года. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в оригинальной упаковке, в защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше 25°С. Не замораживать. После вскрытия флакон хранить в холодильнике не более 2-х месяцев;2 года;2023;2;вит;;;аминокислоты;;;;;;;;;;;;;;;иммун;;;;;;;;;;;растворы;1 месяц и менее;Синтетическое;;;;взрослые;;
"биологически активная добавка к пище ""Трифала Чурна"" торговой марки Jiva (Triphala Churna) (порошок во флаконах по 100 г, 500 г с мерной ложкой)";Jiva Ayurvedic Pharmacy Ltd., Jiva Marg, 21B, Faridabad-121001, Haryana, (адрес места осуществления деятельности по изготовлению продукции: Village Palla, Post Tilpat Sector-37, Faridabad-121003, Haryana) (Индия);RU.77.99.88.003.R.000654.03.23 от 10.03.2023;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 мерной ложки (2,5 г) раз в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Условия хранения: хранить сухом, недоступном для детей месте, при температуре не выше 25°С. После вскрытия упаковку хранить плотно закрытой при тех же условиях;иностранное;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 мерной ложки (2,5 г) раз в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Условия хранения: хранить сухом, недоступном для детей месте, при температуре не выше 25°С. После вскрытия упаковку хранить плотно закрытой при тех же условиях;2 года;2023;2;;;;;фенольн;;;;;;;;;дуб;;;суст;;иммун;жкт;;;;;;;;;;порошок;1 месяц и менее;Природное (растительное);Плоды эмблики (Филлантус эмблика – Phyllanthus emblica), плоды терминалии хебулла (Терминалия хебулла – Terminalia chebula), плоды терминалии белерика (Терминалия белерика – Terminalia bellirica);;;взрослые;;
"биологически активная добавка к пище ""GLYCITОN (""ГЛИЦИТОН"") ХАЛСА"" (капсулы массой 935 мг (±10%)";"ООО ""ХАЛСА"", 117418, г. Москва, вн.тер.г. муниципальный округ Черемушки, ул. Зюзинская, д. 6, к. 2, пом./ком. XV/32 (адрес места осуществления деятельности по изготовлению продукции: 115410, г. Москва, ул. Орджоникидзе, д.11, стр.1А, 1эт., пом.IIIа) (ПРИЛОЖЕНИЕ) ООО ""ЗДРАВФАРМ"", 129626, г. Москва, вн.тер.г. Муниципальный округ Алексеевский, ул. 1-я Мытищинская, д.3, стр.1, этаж/кабинет 2/216, ком.42 (адрес места осуществления деятельности по изготовлению продукции: 141069, Московская область, г.Королёв, микрорайон Первомайский, Советская улица, д.27, пом.101) (Российская Федерация)";RU.77.99.32.003.R.000656.03.23 от 10.03.2023;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 капсуле в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Возможны повторные приемы в течение года. Противопоказания: индивидуальная непереносимость компонентов БАД. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Условия хранения: хранить в оригинальной упаковке, недоступном для детей месте, при температуре не выше +25°С;отечественное;индивидуальная непереносимость компонентов ;2 года;2023;1;;;;аминокислоты;;;;;;;;;;;;;;нерв;;;;;;;;;;;;капсулы;1 месяц и менее;Синтетическое;;;;взрослые;;
"биологически активная добавка к пище ""Гиалуроновая кислота + Хондроитин Сульфат"" (""Hyaluronic Acid + Chondroitin Sulfate"" (таблетки массой 1300 мг)";"""Doctor's Best, Inc."", 18100 Von Karman Ave, Ste 800, Irvine, CA 92612, USA (США)";RU.77.99.11.003.R.000658.03.23 от 10.03.2023;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 таблетке в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности: 2 года. Хранить в сухом, защищённом от прямых солнечных лучей, недоступном для детей месте при температуре не выше +25°С;иностранное;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 таблетке в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности: 2 года. Хранить в сухом, защищённом от прямых солнечных лучей, недоступном для детей месте при температуре не выше +25°С;2 года;2023;1;;;;;;;;;;;;;;;;;суст;;;;;;;;;;;;;таблетки;1 месяц и менее;Природное (животное);Коллаген BioCell Collagen (Коллаген 2 типа гидролизованный (Хрящ куриный – Gallus gallus domesticus), хондроитин сульфат (Хрящ куриный – Gallus gallus domesticus), гиалуроновая кислота;;;взрослые;;
"биологически активная добавка к пище ""Кидстики микроэлементыо + витамины группы В + витамин С"" со вкусом шиповника (жидкость в стик-пакетах по 10 мл, во флаконах от 100 до 300 мл)";"ООО ""Гротекс"", 195279, г. Санкт-Петербург, Индустриальный проспект, д. 71, корп. 2, литера А (адрес места осуществления деятельности по изготовлению продукции: 195253, г. Санкт-Петербург, Лапинский пр., 13, лит. Ж) (Российская Федерация)";RU.77.99.11.003.R.000659.03.23 от 10.03.2023;в соответствии с ТР ТС 022/2011. Рекомендации по применению: детям от 3 до 14 лет и юношам от 15 до 17 лет по 10 мл (1 стик-пакет или 1 десертная ложка) в день во время еды, девушкам от 15 до 17 лет по 20 мл (2 стик-пакета или 2 десертные ложки) в день во время еды чистом виде или предварительно размешав в небольшом количестве воды или сока. Перед употреблением стик-пакет рекомендуется встряхнуть. Продолжительность приема - 1 месяц. При необходимости прием можно повторить в течение года. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью, нарушения углеводного обмена. Перед применением БАД необходимо проконсультироваться с врачом-педиатром, детям до 14 лет принимать продукт по согласованию и под наблюдением врача-педиатра. Срок годности - 18 месяцев. Хранить в защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше 25°С. Не замораживать. Вскрытый флакон хранить в холодильнике;отечественное;в соответствии с ТР ТС 022/2011. Рекомендации по применению: детям от 3 до 14 лет и юношам от 15 до 17 лет по 10 мл (1 стик-пакет или 1 десертная ложка) в день во время еды, девушкам от 15 до 17 лет по 20 мл (2 стик-пакета или 2 десертные ложки) в день во время еды чистом виде или предварительно размешав в небольшом количестве воды или сока. Перед употреблением стик-пакет рекомендуется встряхнуть. Продолжительность приема - 1 месяц. При необходимости прием можно повторить в течение года. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью, нарушения углеводного обмена. Перед применением БАД необходимо проконсультироваться с врачом-педиатром, детям до 14 лет принимать продукт по согласованию и под наблюдением врача-педиатра. Срок годности - 18 месяцев. Хранить в защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше 25°С. Не замораживать. Вскрытый флакон хранить в холодильнике;1,5 года;2023;2;вит;элементы;;;;;;;;;;;;;;;;нерв;иммун;;;;;;;;;;;растворы;1 месяц и менее;Природное (растительное);Экстракт листьев мелиссы (Мелисса лекарственная – Melissa officinalis), экстракт плодов шиповника (Шиповник майский – Rosa canina);;;;;
